ADO Den Haag,Netherlands
AEK Athens,Other countries
AIK,Sweden
AS Monaco,France
AS Saint-etienne,France
AZ Alkmaar,Netherlands
Aalborg BK,Denmark
Aberdeen,Scotland
Ajax,Netherlands
Akhisar Belediyespor,Turkey
Al Ahli,Saudi Arabia 
Al Fateh,Saudi Arabia 
Al Hilal,Saudi Arabia 
Al Ittihad,Saudi Arabia 
Al Nassr,Saudi Arabia 
Al Qadisiyah,Saudi Arabia 
Al Raed,Saudi Arabia 
Al Shabab,Saudi Arabia 
Al Taawoun,Saudi Arabia 
Al Wehda,Saudi Arabia 
Alanyaspor,Turkey
Albacete BP,Spain
Alianza Petrolera,South America
America de Cali,South America
Amiens SC,France
Angers SCO,France
Antalyaspor,Turkey
Argentina,National Teams
Argentinos Juniors,South America
Arsenal,England
Ascoli,Italy
Aston Villa,England
Atalanta,Italy
Atiker Konyaspor,Turkey
Atlanta United,USA/Canada 
Atletico Bucaramanga,South America
Atletico Madrid,Spain
Atletico Nacional,South America
Atletico Tucuman,Argentina
Australia,National Teams
Austria,National Teams
BB Erzurumspor,Turkey
BSC Young Boys,Switzerland
Bayer 04 Leverkusen,Germany
Beijing Renhe FC,China
Beijing Sinobo Guoan FC,China
Belgium,National Teams
Belgrano de Cordoba,Argentina
Benevento,Other countries
Besiktas JK,Turkey
Birmingham City,England
Blackburn Rovers,England
Boca Juniors,Argentina
Bolivia,National Teams
Bologna,Italy
Borussia Dortmund,Germany
Borussia Monchengladbach,Germany
Bournemouth,England
Brentford,England
Brescia,Italy
Brighton & Hove Albion,England
Brisbane Roar,Australia
Bristol City,England
Brondby IF,Denmark
Bulgaria,National Teams
Burnley,England
Bursaspor,Turkey
CD Everton de Vina del Mar,South America
CD Feirense,Portugal
CD Leganes,Spain
CD Nacional,Portugal
CD Numancia,Spain
CD Palestino,South America
CD Tenerife,Spain
CD Universidad de Concepcion,South America
Cadiz CF,Spain
Cagliari,Italy
Cameroon,National Teams
Canada,National Teams
Cardiff City,England
Carpi,Italy
Celtic,Scotland
Cerezo Osaka,Japan
Changchun Yatai FC,China
Chelsea,England
Chicago Fire,USA/Canada 
Chievo Verona,Italy
Chile,National Teams
Cittadella,Italy
Club America,Mexico
Club Atlas,Mexico
Club Atletico Aldosivi,Argentina
Club Atletico Banfield,Argentina
Club Atletico Colon,Argentina
Club Atletico Huracan,Argentina
Club Atletico Lanus,Argentina
Club Atletico Talleres,Argentina
Club Atletico Tigre,Argentina
Club Brugge KV,Belgium
Club Leon,Mexico
Club Necaxa,Mexico
Club Tijuana,Mexico
Clube Sport Maritimo,Portugal
Colo-Colo,South America
Colombia,National Teams
Colorado Rapids,USA/Canada 
Columbus Crew SC,USA/Canada 
Cosenza,Italy
Cote d'Ivoire,National Teams
Crotone,Other countries
Cruz Azul,Mexico
Crystal Palace,England
Curico Unido,South America
Czech Republic,National Teams
DC United,USA/Canada 
DSC Arminia Bielefeld,Germany
Dalian YiFang FC,China
Defensa y Justicia,Argentina
Deportes Tolima,South America
Deportivo Alaves,Spain
Deportivo Cali,South America
Deportivo Toluca,Mexico
Deportivo de La Coruna,Spain
Derby County,England
Dijon FCO,France
Dinamo Zagreb,Other countries
Djurgardens IF,Sweden
Dynamo Kyiv,Other countries
Ecuador,National Teams
Egypt,National Teams
Eintracht Frankfurt,Germany
Empoli,Italy
En Avant de Guingamp,France
Estudiantes de La Plata,Argentina
Ettifaq FC,Saudi Arabia 
Everton,England
Excelsior,Netherlands
FC Augsburg,Germany
FC Barcelona,Spain
FC Basel 1893,Switzerland
FC Bayern Munchen,Germany
FC Dallas,USA/Canada 
FC Girondins de Bordeaux,France
FC Groningen,Netherlands
FC Heidenheim 1846,Germany
FC Ingolstadt 04,Germany
FC Kobenhavn,Denmark
FC Koln,Germany
FC Lorient,France
FC Lugano,Switzerland
FC Metz,France
FC Midtjylland,Denmark
FC Nantes,France
FC Nurnberg,Germany
FC Porto,Portugal
FC Red Bull Salzburg,Austria
FC Schalke 04,Germany
FC Sion,Switzerland
FC Sochaux-Montbeliard,France
FC St. Pauli,Germany
FC Tokyo,Japan
FC Union Berlin,Germany
FC Utrecht,Netherlands
FC Zurich,Switzerland
FK Austria Wien,Austria
FSV Mainz 05,Germany
Fenerbahce SK,Turkey
Feyenoord,Netherlands
Fiorentina,Italy
Foggia,Italy
Fortuna Dusseldorf,Germany
Frosinone,Italy
Fulham,England
GD Chaves,Portugal
Galatasaray SK,Turkey
Gamba Osaka,Japan
Genoa,Italy
Getafe CF,Spain
Gimnasia y Esgrima La Plata,Argentina
Gimnastic de Tarragona,Spain
Girona FC,Spain
Godoy Cruz,Argentina
Gornik Zabrze,Poland
Goztepe SK,Turkey
Granada CF,Spain
Grasshopper Club Zurich,Scotland
Greece,National Teams
Guadalajara,Mexico
Guangzhou R&F FC,China
Guizhou Hengfeng FC,China
Hamburger SV,Germany
Hammarby IF,Sweden
Hannover 96,Germany
Heart of Midlothian,Scotland
Hebei China Fortune FC,China
Hellas Verona,Italy
Heracles Almelo,Netherlands
Hertha BSC,Germany
Hibernian,Scotland
Holstein Kiel,Germany
Houston Dynamo,USA/Canada 
Huddersfield Town,England
Hull City,England
Hungary,National Teams
IFK Norrkoping,Sweden
Iceland,National Teams
Incheon United FC,South Korea
Independiente,Argentina
Independiente Medellin,South America
Independiente Santa Fe,South America
Inter,Italy
Ipswich Town,England
Italy,National Teams
Jagiellonia Bialystok,Poland
Jiangsu Suning FC,China
Jubilo Iwata,Japan
Junior FC,South America
Juventus,Italy
KAA Gent,Belgium
KAS Eupen,Belgium
KRC Genk,Belgium
KSV Cercle Brugge,Belgium
KV Kortrijk,Belgium
KV Oostende,Belgium
Kaizer Chiefs,Other countries
Kalmar FF,Sweden
Kashiwa Reysol,Japan
Kasimpasa SK,Turkey
Kawasaki Frontale,Japan
Kayserispor,Turkey
Kilmarnock,Scotland
LA Galaxy,USA/Canada 
LASK Linz,Austria
LOSC Lille,France
La Equidad,South America
Lazio,Italy
Le Havre AC,France
Lecce,Other countries
Lech Poznan,Poland
Lechia Gdansk,Poland
Leeds United,England
Leicester City,England
Levante UD,Spain
Liverpool,England
Livorno,Italy
Lobos BUAP,Mexico
Lokomotiv Moscow,Russia
Los Angeles FC,USA/Canada 
MKE Ankaragucu,Turkey
MSV Duisburg,Germany
Malaga CF,Spain
Malmo FF,Sweden
Manchester City,England
Manchester United,England
